"Model","Weibull_shape","Censoring_label","Parameter","AbsRelBias_PO-only","AbsRelBias_IPCW-only","AbsRelBias_Stacked-GMM","CovDist_PO-only","CovDist_IPCW-only","CovDist_Stacked-GMM","GMM_better_than_IPCW_bias","GMM_better_than_IPCW_coverage"
"Model 1",1,"(a) no censoring","Age",0.0209,0.0209,0.0206,0.001,0.001,0.001,TRUE,FALSE
"Model 1",1,"(a) no censoring","Albumin",0.0112,0.0112,0.0114,0.0279999999999999,0.0279999999999999,0.0279999999999999,FALSE,FALSE
"Model 1",1,"(a) no censoring","Intercept",0.0035,0.0035,0.0026,0.0149999999999999,0.0149999999999999,0.0149999999999999,TRUE,FALSE
"Model 1",1,"(a) no censoring","LogBili",0.0079,0.0079,0.0079,0.0139999999999999,0.0139999999999999,0.0139999999999999,FALSE,FALSE
"Model 1",1,"(b) independent censoring","Age",0.0253,0.0116,0.0083,0.012,0.001,0,TRUE,TRUE
"Model 1",1,"(b) independent censoring","Albumin",0.034,0.0088,0.0207,0.0239999999999999,0.0139999999999999,0.01,FALSE,TRUE
"Model 1",1,"(b) independent censoring","Intercept",0.0526,0.001,0.0473,0.0149999999999999,0.0149999999999999,0.001,FALSE,TRUE
"Model 1",1,"(b) independent censoring","LogBili",0.0201,0.02,0.0115,0.011,0.0169999999999999,0.012,TRUE,TRUE
"Model 1",1,"(c) group-specific censoring","Age",0.0729,0.0316,0.0247,0.0279999999999999,0.0199999999999999,0.0169999999999999,TRUE,TRUE
"Model 1",1,"(c) group-specific censoring","Albumin",0.0873,0.023,0.0327,0.0489999999999999,0.0259999999999999,0.0189999999999999,FALSE,TRUE
"Model 1",1,"(c) group-specific censoring","Intercept",0.2386,2e-04,0.1147,0.0179999999999999,0.0129999999999999,0.0139999999999999,FALSE,FALSE
"Model 1",1,"(c) group-specific censoring","LogBili",0.0564,0.0181,0.0086,0.0399999999999999,0.00800000000000001,0.00700000000000001,TRUE,TRUE
"Model 1",1,"(d) covariate-dependent censoring","Age",0.0573,0.3221,0.2889,0.003,0.1393,0.135,TRUE,TRUE
"Model 1",1,"(d) covariate-dependent censoring","Albumin",0.0555,0.0807,0.0344,0.0499999999999999,0.0497,0.0259999999999999,TRUE,TRUE
"Model 1",1,"(d) covariate-dependent censoring","Intercept",0.1078,0.7618,0.6208,0.0289999999999999,0.094,0.076,TRUE,TRUE
"Model 1",1,"(d) covariate-dependent censoring","LogBili",0.0568,0.1715,0.1848,0.0339999999999999,0.1695,0.225,FALSE,FALSE
"Model 2",2,"(a) no censoring","Age",0.0084,0.0084,0.0082,0.00800000000000001,0.00800000000000001,0.00800000000000001,TRUE,FALSE
"Model 2",2,"(a) no censoring","Albumin",0.0087,0.0087,0.0088,0.003,0.003,0.003,FALSE,FALSE
"Model 2",2,"(a) no censoring","Intercept",0.005,0.005,0.0058,0.004,0.004,0.004,FALSE,FALSE
"Model 2",2,"(a) no censoring","LogBili",0.0035,0.0035,0.0034,0.005,0.005,0.005,TRUE,FALSE
"Model 2",2,"(b) independent censoring","Age",0.0378,0.013,0.0151,0.0199999999999999,0.00900000000000001,0.00900000000000001,FALSE,FALSE
"Model 2",2,"(b) independent censoring","Albumin",0.0364,0.0015,0.009,0.0309999999999999,0.00800000000000001,0.001,FALSE,TRUE
"Model 2",2,"(b) independent censoring","Intercept",0.036,0.0311,0.003,0.0169999999999999,0.0129999999999999,0.011,TRUE,TRUE
"Model 2",2,"(b) independent censoring","LogBili",0.0232,0.0056,0.0034,0.0159999999999999,0.002,0.003,TRUE,FALSE
"Model 2",2,"(c) group-specific censoring","Age",0.0529,0.007,0.0013,0.00900000000000001,0.005,0.002,TRUE,TRUE
"Model 2",2,"(c) group-specific censoring","Albumin",0.0793,0.0143,0.011,0.0399999999999999,0.00700000000000001,0.01,TRUE,FALSE
"Model 2",2,"(c) group-specific censoring","Intercept",0.2955,0.0188,0.1157,0.0319999999999999,0.00900000000000001,0.00800000000000001,FALSE,TRUE
"Model 2",2,"(c) group-specific censoring","LogBili",0.0239,0.0065,0.0205,0.0369999999999999,0.00900000000000001,0.00900000000000001,FALSE,FALSE
"Model 2",2,"(d) covariate-dependent censoring","Age",0.0564,0.2361,0.2092,0.0279999999999999,0.098,0.122,TRUE,FALSE
"Model 2",2,"(d) covariate-dependent censoring","Albumin",0.0607,0.0629,0.0362,0.0489999999999999,0.0349999999999999,0.012,TRUE,TRUE
"Model 2",2,"(d) covariate-dependent censoring","Intercept",0.1355,0.5072,0.3821,0.0229999999999999,0.075,0.0419999999999999,TRUE,TRUE
"Model 2",2,"(d) covariate-dependent censoring","LogBili",0.0638,0.1285,0.1412,0.0459999999999999,0.147,0.204,FALSE,FALSE
