"Model","Weibull_shape","Censoring_label","Parameter","PO-only","IPCW-only","Stacked-GMM"
"Model 1",1,"(a) no censoring","Intercept",1.0264,1.0264,1.0263
"Model 1",1,"(a) no censoring","Age",0.0091,0.0091,0.0091
"Model 1",1,"(a) no censoring","LogBili",0.0935,0.0935,0.0935
"Model 1",1,"(a) no censoring","Albumin",0.2262,0.2262,0.2262
"Model 1",1,"(b) independent censoring","Intercept",1.3661,1.2716,1.223
"Model 1",1,"(b) independent censoring","Age",0.012,0.0113,0.0109
"Model 1",1,"(b) independent censoring","LogBili",0.1283,0.1147,0.1108
"Model 1",1,"(b) independent censoring","Albumin",0.3134,0.277,0.2681
"Model 1",1,"(c) group-specific censoring","Intercept",1.3141,1.2466,1.1927
"Model 1",1,"(c) group-specific censoring","Age",0.0115,0.011,0.0106
"Model 1",1,"(c) group-specific censoring","LogBili",0.1202,0.1193,0.1088
"Model 1",1,"(c) group-specific censoring","Albumin",0.3013,0.2718,0.2632
"Model 1",1,"(d) covariate-dependent censoring","Intercept",1.3364,1.7044,1.3465
"Model 1",1,"(d) covariate-dependent censoring","Age",0.0117,0.0155,0.012
"Model 1",1,"(d) covariate-dependent censoring","LogBili",0.1238,0.1552,0.1236
"Model 1",1,"(d) covariate-dependent censoring","Albumin",0.3054,0.3718,0.2964
"Model 2",2,"(a) no censoring","Intercept",0.7801,0.7801,0.7801
"Model 2",2,"(a) no censoring","Age",0.0071,0.0071,0.0071
"Model 2",2,"(a) no censoring","LogBili",0.0722,0.0722,0.0722
"Model 2",2,"(a) no censoring","Albumin",0.1701,0.1701,0.1701
"Model 2",2,"(b) independent censoring","Intercept",1.2006,0.9911,0.9825
"Model 2",2,"(b) independent censoring","Age",0.0107,0.0091,0.0091
"Model 2",2,"(b) independent censoring","LogBili",0.1173,0.0921,0.0913
"Model 2",2,"(b) independent censoring","Albumin",0.2772,0.2132,0.2122
"Model 2",2,"(c) group-specific censoring","Intercept",1.1143,1.0098,0.9684
"Model 2",2,"(c) group-specific censoring","Age",0.01,0.0091,0.0088
"Model 2",2,"(c) group-specific censoring","LogBili",0.1043,0.102,0.0908
"Model 2",2,"(c) group-specific censoring","Albumin",0.2581,0.2158,0.21
"Model 2",2,"(d) covariate-dependent censoring","Intercept",1.1343,1.4683,1.1169
"Model 2",2,"(d) covariate-dependent censoring","Age",0.0101,0.0133,0.0102
"Model 2",2,"(d) covariate-dependent censoring","LogBili",0.11,0.1437,0.1067
"Model 2",2,"(d) covariate-dependent censoring","Albumin",0.2609,0.323,0.2436
